date,quantity,price
2024-01-01,150,1000.50
2024-01-02,120,950.75
2024-01-03,180,1100.25
2024-01-04,90,850.00
2024-01-05,200,1200.50
2024-01-06,220,1250.75
2024-01-07,80,800.25
2024-01-08,160,1050.00
2024-01-09,140,980.50
2024-01-10,170,1150.75
2024-01-11,110,920.25
2024-01-12,190,1180.00
2024-01-13,210,1220.50
2024-01-14,70,750.75
2024-01-15,130,960.25
2024-01-16,165,1080.00
2024-01-17,145,1020.50
2024-01-18,175,1120.75
2024-01-19,95,880.25
2024-01-20,205,1190.00
2024-01-21,85,820.50
2024-01-22,155,1060.75
2024-01-23,135,990.25
2024-01-24,185,1160.00
2024-01-25,125,940.50
2024-01-26,195,1210.75
2024-01-27,65,720.25
2024-01-28,150,1040.00
2024-01-29,140,1010.50
2024-01-30,180,1140.75
2024-01-31,100,890.25
2024-02-01,160,1070.00
2024-02-02,120,960.50
2024-02-03,200,1230.75
2024-02-04,90,830.25
2024-02-05,170,1090.00
2024-02-06,190,1170.50
2024-02-07,80,780.75
2024-02-08,140,1000.25
2024-02-09,130,950.00
2024-02-10,210,1240.50
2024-02-11,110,900.75
2024-02-12,180,1150.25
2024-02-13,150,1030.00
2024-02-14,220,1280.50
2024-02-15,70,740.75
2024-02-16,165,1080.25
2024-02-17,145,1020.00
2024-02-18,175,1130.50
2024-02-19,95,870.75
2024-02-20,205,1200.25
2024-02-21,85,810.00
2024-02-22,155,1050.50
2024-02-23,135,980.75
2024-02-24,185,1160.25
2024-02-25,125,930.00
2024-02-26,195,1190.50
2024-02-27,65,710.75
2024-02-28,160,1060.25
2024-02-29,140,1010.00
